School,School Name,Suburb,State,Latitude,Longitude,ICSEA,ICSEA Percentile,Total Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Median VCE study score,Percentage of study scores of 40 and over,Statistical Area 2,Statistical Area 2 Name
Emmanuel College,Emmanuel College,CARRARA,QLD,-28.016537,153.369536,1136.0,93.0,1651.0,1.0,23.0,28,4.6,213021343.0,Altona North
Emmanuel College,Emmanuel College,ALTONA NORTH,VIC,-37.831623,144.842389,1075.0,77.0,2498.0,0.0,40.0,30,6.4,213021343.0,Altona North
Emmanuel College,Emmanuel College,ALTONA NORTH,VIC,-37.831623,144.842389,1136.0,93.0,1651.0,1.0,23.0,30,6.4,213021343.0,Altona North
Emmanuel College,Emmanuel College,CARRARA,QLD,-28.016537,153.369536,1075.0,77.0,2498.0,0.0,40.0,30,6.4,213021343.0,Altona North
Emmanuel College,Emmanuel College,CARRARA,QLD,-28.016537,153.369536,1136.0,93.0,1651.0,1.0,23.0,30,6.4,213021343.0,Altona North
Emmaus College,Emmaus College,VERMONT SOUTH,VIC,-37.84799085442325,145.17444779150486,1079.0,78.0,1444.0,0.0,27.0,31,9.8,211041273.0,Vermont South
Emmaus College,Emmaus College,VERMONT SOUTH,VIC,-37.84799085442325,145.17444779150486,1026.0,58.0,1527.0,3.0,3.0,31,9.8,211041273.0,Vermont South
Emmaus College,Emmaus College,VERMONT SOUTH,VIC,-37.84799085442325,145.17444779150486,997.0,45.0,1323.0,11.0,6.0,31,9.8,211041273.0,Vermont South
Emmaus College,Emmaus College,JIMBOOMBA,QLD,-27.834339,153.037683,1079.0,78.0,1444.0,0.0,27.0,31,9.8,211041273.0,Vermont South
Emmaus College,Emmaus College,JIMBOOMBA,QLD,-27.834339,153.037683,1026.0,58.0,1527.0,3.0,3.0,31,9.8,211041273.0,Vermont South
Emmaus College,Emmaus College,JIMBOOMBA,QLD,-27.834339,153.037683,997.0,45.0,1323.0,11.0,6.0,31,9.8,211041273.0,Vermont South
Emmaus College,Emmaus College,PARK AVENUE,QLD,-23.349661,150.522518,1079.0,78.0,1444.0,0.0,27.0,31,9.8,211041273.0,Vermont South
Emmaus College,Emmaus College,PARK AVENUE,QLD,-23.349661,150.522518,1026.0,58.0,1527.0,3.0,3.0,31,9.8,211041273.0,Vermont South
Emmaus College,Emmaus College,PARK AVENUE,QLD,-23.349661,150.522518,997.0,45.0,1323.0,11.0,6.0,31,9.8,211041273.0,Vermont South
