School,Locality,Number of students enrolled in a Vocational Education and Training (VET) certificate,Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Median VCE study score,Percentage of study scores of 40 and over,ACARA SML ID,Location AGE ID,School AGE ID,Rolled School ID,School Name,Suburb,State,Postcode,School Sector,School Type,Special school,Campus Type,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name,State Electoral Division,State Electoral Division Name,Commonwealth Electoral Division,Commonwealth Electoral Division Name
Catholic College Sale,SALE,194,58.1,100,29,7,45737,41202,1202,45737,Catholic College Sale,SALE,VIC,3850,Catholic,Secondary,0,School Head Campus,-38.108707,147.063779,1,Inner Regional,20585380000,20505110329,205051103,Sale,20505,Wellington,205,Latrobe - Gippsland,26810,Wellington,23301,Gippsland South (Eastern Victoria),216,Gippsland
Catholic College Wodonga,WODONGA,178,63.5,100,28,3.8,46043,42196,2196,46043,Catholic College Wodonga,WODONGA,VIC,3690,Catholic,Secondary,0,School Single Entity,-36.12961895,146.8623901,1,Inner Regional,20631976230,20403107308,204031073,West Wodonga,20403,Wodonga - Alpine,204,Hume,27170,Wodonga,20604,Benambra (Northern Victoria),223,Indi
Chaffey Secondary College,MILDURA,10,I/D,I/D,I/D,I/D,45337,56359,16359,45337,Chaffey Secondary College,MILDURA,VIC,3502,Government,Secondary,0,School Single Entity,-34.19573,142.147985,2,Outer Regional,20413530000,21502146930,215021469,Mildura - North,21502,Mildura,215,North West,24780,Mildura,24904,Mildura (Northern Victoria),230,Mallee
Charlton College,CHARLTON,23,55.6,94,30,1.6,45566,50937,10937,45566,Charlton College,CHARLTON,VIC,3525,Government,Combined,0,School Head Campus,-36.270312,143.359633,2,Outer Regional,20094870000,21503140008,215031400,Buloke,21503,Murray River - Swan Hill,215,North West,21270,Buloke,24904,Mildura (Northern Victoria),230,Mallee
Cheltenham Secondary College,CHELTENHAM,57,73.6,99,28,2.1,45368,49300,9300,45368,Cheltenham Secondary College,CHELTENHAM,VIC,3192,Government,Secondary,0,School Single Entity,-37.953335,145.068585,0,Major Cities,20311070000,20803118865,208031188,Highett (East) - Cheltenham,20803,Kingston,208,Melbourne - Inner South,23430,Kingston (Vic.),20906,Bentleigh (Southern Metropolitan),224,Isaacs
Cire Community School,LILYDALE,160,2.2,16,-,-,51484,,30222,51484,Cire Community School,LILYDALE,VIC,3140,Independent,Secondary,1,School Head Campus,-37.75715697,145.343977,0,Major Cities,20656770000,21105127838,211051278,Lilydale - Coldstream,21105,Yarra Ranges,211,Melbourne - Outer East,27450,Yarra Ranges,22801,Evelyn (Eastern Victoria),206,Casey
Clonard College,HERNE HILL,99,69.3,100,29,5.4,45909,40776,776,45909,Clonard College,HERNE HILL,VIC,3218,Catholic,Secondary,0,School Single Entity,-38.129766,144.33003,0,Major Cities,20631937920,20302104026,203021040,Geelong West - Hamlyn Heights,20302,Geelong,203,Geelong,22750,Greater Geelong,23108,Geelong (Western Victoria),210,Corio
Cobden Technical School,COBDEN,20,20,100,24,0,45327,55443,15443,45327,Cobden Technical School,COBDEN,VIC,3266,Government,Secondary,0,School Single Entity,-38.32403633,143.0636059,1,Inner Regional,20138560000,21703147501,217031475,Corangamite - South,21703,Colac - Corangamite,217,Warrnambool and South West,21830,Corangamite,26808,Polwarth (Western Victoria),238,Wannon
Cobram Anglican Grammar School,COBRAM,47,63.2,100,26,1.1,46356,56687,16687,46356,Cobram Anglican Grammar School,COBRAM,VIC,3644,Independent,Combined,0,School Single Entity,-35.924283,145.660055,1,Inner Regional,20631979190,21602141106,216021411,Cobram,21602,Moira,216,Shepparton,24900,Moira,26404,Ovens Valley (Northern Victoria),236,Nicholls
Cobram Secondary College,COBRAM,94,42.9,98,24,0.9,45369,46237,6237,45369,Cobram Secondary College,COBRAM,VIC,3644,Government,Secondary,0,School Single Entity,-35.913605,145.654121,1,Inner Regional,20421490000,21602141112,216021411,Cobram,21602,Moira,216,Shepparton,24900,Moira,26404,Ovens Valley (Northern Victoria),236,Nicholls
Coburg High School,COBURG,80,82.9,99,30,8,40780,66431,26431,40780,Coburg High School,COBURG,VIC,3058,Government,Secondary,0,School Single Entity,-37.740781,144.972778,0,Major Cities,20469490000,20601149720,206011497,Coburg - East,20601,Brunswick - Coburg,206,Melbourne - Inner,24700,Merri-bek,26603,Pascoe Vale (Northern Metropolitan),239,Wills
Cohuna Secondary College,COHUNA,22,66.7,100,28,4.2,45370,51387,11387,45370,Cohuna Secondary College,COHUNA,VIC,3568,Government,Secondary,0,School Single Entity,-35.813503,144.226425,2,Outer Regional,20181170000,21503140103,215031401,Gannawarra,21503,Murray River - Swan Hill,215,North West,22250,Gannawarra,25604,Murray Plains (Northern Victoria),230,Mallee
Colac Secondary College,COLAC,57,33.3,93,23,0,45593,54855,14855,45593,Colac Secondary College,COLAC,VIC,3250,Government,Secondary,0,School Single Entity,-38.35149548,143.5901021,1,Inner Regional,20133210000,21703147223,217031472,Colac,21703,Colac - Corangamite,217,Warrnambool and South West,21750,Colac Otway,26808,Polwarth (Western Victoria),238,Wannon
Collingwood College,FITZROY NORTH,62,63.8,86,28,4,45296,46259,6259,45296,Collingwood College,COLLINGWOOD,VIC,3066,Government,Combined,0,School Head Campus,-37.802985,144.990497,0,Major Cities,20639680000,20607114106,206071141,Collingwood,20607,Yarra,206,Melbourne - Inner,27350,Yarra,27103,Richmond (Northern Metropolitan),233,Melbourne
Copperfield College,DELAHEY,341,62.6,92,27,2.1,40689,57411,17411,40689,Copperfield College,DELAHEY,VIC,3037,Government,Secondary,0,School Head Campus,-37.719607,144.772454,0,Major Cities,20078760000,21301133102,213011331,Delahey,21301,Brimbank,213,Melbourne - West,21180,Brimbank,28107,Sydenham (Western Metropolitan),218,Gorton
Cornish College,BANGHOLME,23,92.2,100,30,6.8,50513,69729,29729,50513,Cornish College,BANGHOLME,VIC,3175,Independent,Combined,0,School Single Entity,-38.048641,145.150451,0,Major Cities,20631942600,21204156616,212041566,Keysborough - South,21204,Dandenong,212,Melbourne - South East,22670,Greater Dandenong,25205,Mordialloc (South-Eastern Metropolitan),224,Isaacs
Corryong College,CORRYONG,41,27.3,100,31,5.6,45576,51663,11663,45576,Corryong College,CORRYONG,VIC,3707,Government,Combined,0,School Single Entity,-36.192938,147.910757,2,Outer Regional,20568350000,20403107204,204031072,Towong,20403,Wodonga - Alpine,204,Hume,26670,Towong,20604,Benambra (Northern Victoria),223,Indi
Covenant College,BELL POST HILL,30,70.4,100,29,3,46257,42458,2458,46257,Covenant College,BELL POST HILL,VIC,3215,Independent,Combined,0,School Single Entity,-38.0976,144.318015,0,Major Cities,20238220000,20302104736,203021047,North Geelong - Bell Park,20302,Geelong,203,Geelong,22750,Greater Geelong,24208,Lara (Western Victoria),210,Corio
Craigieburn Secondary College,CRAIGIEBURN,159,76,96,21,0.7,45496,46174,6174,45496,Craigieburn Secondary College,CRAIGIEBURN,VIC,3064,Government,Secondary,0,School Single Entity,-37.60861754,144.9355817,0,Major Cities,20296490000,21005144318,210051443,Craigieburn - South,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,23270,Hume,23503,Greenvale (Northern Metropolitan),205,Calwell
Cranbourne Secondary College,CRANBOURNE,255,67,97,24,0.3,45372,52225,12225,45372,Cranbourne Secondary College,CRANBOURNE,VIC,3977,Government,Secondary,0,School Single Entity,-38.108126,145.286641,0,Major Cities,20631932100,21203130017,212031300,Cranbourne,21203,Casey - South,212,Melbourne - South East,21610,Casey,22005,Cranbourne (South-Eastern Metropolitan),221,Holt
Croydon Community School,CROYDON,28,9.1,82,-,-,45374,48446,8446,45374,Croydon Community School,CROYDON,VIC,3136,Government,Secondary,0,School Head Campus,-37.7893876,145.2807261,0,Major Cities,20382810000,21103145110,211031451,Croydon - West,21103,Maroondah,211,Melbourne - Outer East,24410,Maroondah,22102,Croydon (North-Eastern Metropolitan),211,Deakin
Damascus College,MOUNT CLEAR,238,63.9,99,29,3.7,45679,54006,14006,45679,Damascus College,MOUNT CLEAR,VIC,3350,Catholic,Secondary,0,School Single Entity,-37.611456,143.870347,1,Inner Regional,20014110000,20101148302,201011483,Canadian - Mount Clear,20101,Ballarat,201,Ballarat,20570,Ballarat,22608,Eureka (Western Victoria),202,Ballarat
Dandenong High School,DANDENONG,113,72.5,95,25,1.7,45588,46230,6230,45588,Dandenong High School,DANDENONG,VIC,3175,Government,Secondary,0,School Head Campus,-37.979418,145.209011,0,Major Cities,20222560000,21204156304,212041563,Dandenong - North,21204,Dandenong,212,Melbourne - South East,22670,Greater Dandenong,22205,Dandenong (South-Eastern Metropolitan),204,Bruce
