School,Locality,Number of students enrolled in a Vocational Education and Training (VET) certificate,Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Median VCE study score,Percentage of study scores of 40 and over,ACARA SML ID,Location AGE ID,School AGE ID,Rolled School ID,School Name,Suburb,State,Postcode,School Sector,School Type,Special school,Campus Type,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name,State Electoral Division,State Electoral Division Name,Commonwealth Electoral Division,Commonwealth Electoral Division Name
Kingswood College,BOX HILL,62,92.2,100,32,11.8,46202,40829,829,46202,Kingswood College,BOX HILL,VIC,3128,Independent,Combined,0,School Single Entity,-37.832777,145.118628,0,Major Cities,20590060000,20703116323,207031163,Box Hill,20703,Whitehorse - West,207,Melbourne - Inner East,26980,Whitehorse,21102,Box Hill (North-Eastern Metropolitan),207,Chisholm
Kolbe Catholic College,GREENVALE,312,80.5,100,27,4.8,46123,67935,27935,46123,Kolbe Catholic College,GREENVALE,VIC,3059,Catholic,Secondary,0,School Single Entity,-37.61565904,144.9098864,0,Major Cities,21320710000,21005124650,210051246,Greenvale - Bulla,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,23270,Hume,23503,Greenvale (Northern Metropolitan),205,Calwell
Koonung Secondary College,MONT ALBERT NORTH,69,84.2,97,32,9.8,45406,46193,6193,45406,Koonung Secondary College,MONT ALBERT NORTH,VIC,3129,Government,Secondary,0,School Single Entity,-37.80273503,145.1152839,0,Major Cities,20591880000,20703116403,207031164,Box Hill North,20703,Whitehorse - West,207,Melbourne - Inner East,26980,Whitehorse,21102,Box Hill (North-Eastern Metropolitan),226,Kooyong
Korowa Anglican Girls' School,GLEN IRIS,18,100,100,35,21.2,46136,40830,830,46136,Korowa Anglican Girls' School,GLEN IRIS,VIC,3146,Independent,Combined,0,School Single Entity,-37.861454,145.054637,0,Major Cities,20631991500,20804119444,208041194,Malvern - Glen Iris,20804,Stonnington - East,208,Melbourne - Inner South,26350,Stonnington,24606,Malvern (Southern Metropolitan),220,Higgins
Kurnai College,CHURCHILL,222,40.4,98,24,0.8,45503,65832,25832,45503,Kurnai College,MORWELL,VIC,3840,Government,Secondary,0,School Head Campus,-38.228791,146.432788,1,Inner Regional,20631928740,20504109602,205041096,Morwell,20504,Latrobe Valley,205,Latrobe - Gippsland,23810,Latrobe (Vic.),25401,Morwell (Eastern Victoria),216,Gippsland
Kurunjang Secondary College,MELTON,94,60.6,98,24,2.3,45504,56397,16397,45504,Kurunjang Secondary College,MELTON,VIC,3337,Government,Secondary,0,School Single Entity,-37.67318002,144.5858272,0,Major Cities,20407810000,21304157625,213041576,Kurunjang - Toolern Vale,21304,Melton - Bacchus Marsh,213,Melbourne - West,24650,Melton,24808,Melton (Western Victoria),219,Hawke
Kyabram P-12 College,KYABRAM,93,35.7,98,23,0,45409,51446,11446,45409,Kyabram P-12 College,KYABRAM,VIC,3619,Government,Combined,0,School Head Campus,-36.317476,145.056207,1,Inner Regional,20097280000,21601140730,216011407,Kyabram,21601,Campaspe,216,Shepparton,21370,Campaspe,25604,Murray Plains (Northern Victoria),236,Nicholls
Lakeview Senior College,CAROLINE SPRINGS,205,68,97,27,2.3,50199,69644,29644,50199,Lakeview Senior College,CAROLINE SPRINGS,VIC,3023,Government,Secondary,0,School Single Entity,-37.73116305,144.7401359,0,Major Cities,20631951190,21304146338,213041463,Caroline Springs,21304,Melton - Bacchus Marsh,213,Melbourne - West,24650,Melton,24107,Kororoit (Western Metropolitan),218,Gorton
Lalor Secondary College,LALOR,107,68.6,98,26,2.3,45413,46279,6279,45413,Lalor Secondary College,LALOR,VIC,3075,Government,Secondary,0,School Single Entity,-37.671732,145.030585,0,Major Cities,20616500000,20904152901,209041529,Lalor - East,20904,Whittlesea - Wallan,209,Melbourne - North East,27070,Whittlesea,28303,Thomastown (Northern Metropolitan),237,Scullin
Lara Secondary College,LARA,99,25,92,25,1.5,45574,57511,17511,45574,Lara Secondary College,LARA,VIC,3212,Government,Secondary,0,School Single Entity,-38.01839851,144.4123342,0,Major Cities,20243110000,20302104334,203021043,Lara,20302,Geelong,203,Geelong,22750,Greater Geelong,24208,Lara (Western Victoria),210,Corio
Lavalla Catholic College,TRARALGON,117,70.4,100,30,4.4,40708,57728,17728,40708,Lavalla Catholic College,TRARALGON,VIC,3844,Catholic,Secondary,0,School Head Campus,-38.20088627,146.5141957,1,Inner Regional,20348640000,20504149423,205041494,Traralgon - West,20504,Latrobe Valley,205,Latrobe - Gippsland,23810,Latrobe (Vic.),25401,Morwell (Eastern Victoria),216,Gippsland
Lavers Hill K-12 College,LAVERS HILL,13,-,-,I/D,I/D,45304,49613,9613,45304,Lavers Hill K-12 College,LAVERS HILL,VIC,3238,Government,Combined,0,School Head Campus,-38.681844,143.383051,2,Outer Regional,20136160000,21703147604,217031476,Otway,21703,Colac - Corangamite,217,Warrnambool and South West,21750,Colac Otway,26808,Polwarth (Western Victoria),238,Wannon
Laverton P-12 College,LAVERTON,49,84.2,100,24,3.7,45590,47643,7643,45590,Laverton P-12 College,LAVERTON,VIC,3028,Government,Combined,0,School Single Entity,-37.85617409,144.7726329,0,Major Cities,20277350000,21305136310,213051363,Laverton,21305,Wyndham,213,Melbourne - West,23110,Hobsons Bay,24307,Laverton (Western Metropolitan),215,Gellibrand
Leibler Yavneh College,ELSTERNWICK,97,96.2,100,35,23.6,46218,41300,1300,46218,Leibler Yavneh College,ELSTERNWICK,VIC,3185,Independent,Combined,0,School Single Entity,-37.892871,145.006626,0,Major Cities,20182660000,20802117914,208021179,Elsternwick,20802,Glen Eira,208,Melbourne - Inner South,22310,Glen Eira,21806,Caulfield (Southern Metropolitan),217,Goldstein
Leongatha Secondary College,LEONGATHA,109,59.6,99,29,1,45520,52167,12167,45520,Leongatha Secondary College,LEONGATHA,VIC,3953,Government,Secondary,0,School Single Entity,-38.47868659,145.9612411,1,Inner Regional,20537330000,20503109011,205031090,Leongatha,20503,Gippsland - South West,205,Latrobe - Gippsland,26170,South Gippsland,23301,Gippsland South (Eastern Victoria),235,Monash
Lilydale Heights College,LILYDALE,58,64.3,95,26,3.7,45335,48506,8506,45335,Lilydale Heights College,LILYDALE,VIC,3140,Government,Secondary,0,School Single Entity,-37.7458221,145.3414068,0,Major Cities,20656280000,21105127814,211051278,Lilydale - Coldstream,21105,Yarra Ranges,211,Melbourne - Outer East,27450,Yarra Ranges,22801,Evelyn (Eastern Victoria),206,Casey
Lilydale High School,LILYDALE,116,44.6,100,27,2,45415,48504,8504,45415,Lilydale High School,LILYDALE,VIC,3140,Government,Secondary,0,School Single Entity,-37.76073331,145.3452169,0,Major Cities,20653520000,21105127821,211051278,Lilydale - Coldstream,21105,Yarra Ranges,211,Melbourne - Outer East,27450,Yarra Ranges,22801,Evelyn (Eastern Victoria),206,Casey
Little Yarra Steiner School,YARRA JUNCTION,-,23.1,100,29,0,46313,45560,5560,46313,Little Yarra Steiner School,YARRA JUNCTION,VIC,3797,Independent,Combined,0,School Single Entity,-37.79444291,145.631163,1,Inner Regional,20631900490,21105128635,211051286,Yarra Valley,21105,Yarra Ranges,211,Melbourne - Outer East,27450,Yarra Ranges,22304,Eildon (Northern Victoria),206,Casey
Loreto College,BALLARAT,69,72,100,31,6.8,45638,40833,833,45638,Loreto College,BALLARAT,VIC,3350,Catholic,Secondary,0,School Head Campus,-37.55686069,143.8234695,1,Inner Regional,20009330000,20101100208,201011002,Ballarat,20101,Ballarat,201,Ballarat,20570,Ballarat,28508,Wendouree (Western Victoria),202,Ballarat
Loreto Mandeville Hall,TOORAK,14,98.7,100,35,26.4,45810,40836,836,45810,Loreto Mandeville Hall,TOORAK,VIC,3142,Catholic,Combined,0,School Single Entity,-37.848193,145.014892,0,Major Cities,20543840000,20606113828,206061138,Toorak,20606,Stonnington - West,206,Melbourne - Inner,26350,Stonnington,24606,Malvern (Southern Metropolitan),220,Higgins
Lorne P-12 College,LORNE,24,100,100,23,3.9,52491,49604,9604,52491,Lorne P-12 College,LORNE,VIC,3232,Government,Combined,0,School Single Entity,-38.53917804,143.9738904,1,Inner Regional,20562120000,20303104908,203031049,Lorne - Anglesea,20303,Surf Coast - Bellarine Peninsula,203,Geelong,26490,Surf Coast,26808,Polwarth (Western Victoria),238,Wannon
Lowanna College,NEWBOROUGH,135,32.6,97,26,2.5,45559,54787,14787,45559,Lowanna College,NEWBOROUGH,VIC,3825,Government,Secondary,0,School Single Entity,-38.17667934,146.2859798,1,Inner Regional,20343871000,20504109523,205041095,Moe - Newborough,20504,Latrobe Valley,205,Latrobe - Gippsland,23810,Latrobe (Vic.),25401,Morwell (Eastern Victoria),235,Monash
Loyola College,WATSONIA,143,82.3,99,30,4.7,46053,42485,2485,46053,Loyola College,WATSONIA,VIC,3087,Catholic,Secondary,0,School Single Entity,-37.703396,145.08073,0,Major Cities,20028890000,20901120410,209011204,Watsonia,20901,Banyule,209,Melbourne - North East,20660,Banyule,21602,Bundoora (North-Eastern Metropolitan),225,Jagajaga
Luther College,CROYDON HILLS,48,87.1,100,32,10.8,46223,55323,15323,46223,Luther College,CROYDON,VIC,3136,Independent,Secondary,0,School Single Entity,-37.783056,145.272743,0,Major Cities,20385260000,21103126525,211031265,Croydon Hills - Warranwood,21103,Maroondah,211,Melbourne - Outer East,24410,Maroondah,22102,Croydon (North-Eastern Metropolitan),211,Deakin
Lyndale Secondary College,DANDENONG NORTH,84,82.2,97,26,3.5,45416,49249,9249,45416,Lyndale Secondary College,DANDENONG NORTH,VIC,3175,Government,Secondary,0,School Single Entity,-37.957779,145.206752,0,Major Cities,20221360000,21204131223,212041312,Dandenong North,21204,Dandenong,212,Melbourne - South East,22670,Greater Dandenong,22205,Dandenong (South-Eastern Metropolitan),204,Bruce
Lyndhurst Secondary College,CRANBOURNE,164,46.2,98,27,1.5,45328,55450,15450,45328,Lyndhurst Secondary College,CRANBOURNE,VIC,3977,Government,Secondary,0,School Single Entity,-38.075011,145.271218,0,Major Cities,20120120000,21203156007,212031560,Cranbourne North - West,21203,Casey - South,212,Melbourne - South East,21610,Casey,25905,Narre Warren South (South-Eastern Metropolitan),221,Holt
Macleod College,MACLEOD,45,77.6,97,28,1.8,45311,48121,8121,45311,Macleod College,MACLEOD,VIC,3085,Government,Combined,0,School Single Entity,-37.724746,145.072218,0,Major Cities,20022760000,20901120330,209011203,Viewbank - Yallambie,20901,Banyule,209,Melbourne - North East,20660,Banyule,23802,Ivanhoe (North-Eastern Metropolitan),225,Jagajaga
Maffra Secondary College,MAFFRA,33,48.5,97,28,1,45418,52061,12061,45418,Maffra Secondary College,MAFFRA,VIC,3860,Government,Secondary,0,School Single Entity,-37.964888,146.982424,1,Inner Regional,20579630000,20505110123,205051101,Maffra,20505,Wellington,205,Latrobe - Gippsland,26810,Wellington,23201,Gippsland East (Eastern Victoria),216,Gippsland
Mallacoota P-12 College,MALLACOOTA,7,50,100,33,18.2,44613,46299,6299,44613,Mallacoota P-12 College,MALLACOOTA,VIC,3892,Government,Combined,0,School Single Entity,-37.559427,149.754296,2,Outer Regional,20631965940,20502108520,205021085,Orbost,20502,Gippsland - East,205,Latrobe - Gippsland,22110,East Gippsland,23201,Gippsland East (Eastern Victoria),216,Gippsland
Manor Lakes P-12 College,WYNDHAM VALE,256,46.7,92,24,3.2,45580,67632,27632,45580,Manor Lakes P-12 College,WYNDHAM VALE,VIC,3024,Government,Combined,0,School Single Entity,-37.874157,144.602275,0,Major Cities,20631946340,21305157909,213051579,Manor Lakes - Quandong,21305,Wyndham,213,Melbourne - West,27260,Wyndham,28607,Werribee (Western Metropolitan),228,Lalor
Mansfield Secondary College,MANSFIELD,89,34.9,100,29,6.3,45419,51690,11690,45419,Mansfield Secondary College,MANSFIELD,VIC,3724,Government,Secondary,0,School Head Campus,-37.062676,146.088565,2,Outer Regional,20370020000,20401105719,204011057,Mansfield (Vic.),20401,Upper Goulburn Valley,204,Hume,24250,Mansfield,22304,Eildon (Northern Victoria),223,Indi
Maranatha Christian School,ENDEAVOUR HILLS,34,69.5,100,31,7.7,46226,40839,839,46226,Maranatha Christian School,ENDEAVOUR HILLS,VIC,3802,Independent,Combined,0,School Head Campus,-37.970919,145.278034,0,Major Cities,20126590000,21202145312,212021453,Endeavour Hills - North,21202,Casey - North,212,Melbourne - South East,21610,Casey,25805,Narre Warren North (South-Eastern Metropolitan),204,Bruce
Marcellin College,BULLEEN,157,82,100,31,5.1,45874,55687,15687,45874,Marcellin College,BULLEEN,VIC,3105,Catholic,Secondary,0,School Single Entity,-37.774782,145.082675,0,Major Cities,20369590000,20702115621,207021156,Bulleen,20702,Manningham - West,207,Melbourne - Inner East,24210,Manningham,21502,Bulleen (North-Eastern Metropolitan),234,Menzies
Marist College Bendigo,MAIDEN GULLY,113,63.5,99,27,2.8,50698,70054,30054,50698,Marist College Bendigo,MAIDEN GULLY,VIC,3551,Catholic,Combined,0,School Single Entity,-36.73171249,144.2216905,1,Inner Regional,20215320000,20201102306,202011023,Maiden Gully,20201,Bendigo,202,Bendigo,22620,Greater Bendigo,20804,Bendigo West (Northern Victoria),203,Bendigo
Maryborough Education Centre,MARYBOROUGH,146,41.8,84,26,2.1,50200,63692,23692,50200,Maryborough Education Centre,MARYBOROUGH,VIC,3465,Government,Combined,0,School Head Campus,-37.041827,143.722657,1,Inner Regional,20701480000,20103101619,201031016,Maryborough (Vic.),20103,Maryborough - Pyrenees,201,Ballarat,21670,Central Goldfields,27308,Ripon (Western Victoria),230,Mallee
Marymede Catholic College,SOUTH MORANG,135,76.8,100,28,3.3,46117,57551,17551,46117,Marymede Catholic College,SOUTH MORANG,VIC,3752,Catholic,Combined,0,School Head Campus,-37.643315,145.091027,0,Major Cities,20632001210,20904143606,209041436,South Morang - South,20904,Whittlesea - Wallan,209,Melbourne - North East,27070,Whittlesea,25002,Mill Park (North-Eastern Metropolitan),237,Scullin
Mater Christi College,BELGRAVE,112,73.4,100,31,7.4,45970,56964,16964,45970,Mater Christi College,BELGRAVE,VIC,3160,Catholic,Secondary,0,School Single Entity,-37.9106377,145.3588871,0,Major Cities,20650490000,21105127408,211051274,Belgrave - Selby,21105,Yarra Ranges,211,Melbourne - Outer East,27450,Yarra Ranges,25101,Monbulk (Eastern Victoria),206,Casey
Mazenod College,MULGRAVE,329,80.2,100,33,13.5,45996,56398,16398,45996,Mazenod College,MULGRAVE,VIC,3170,Catholic,Secondary,0,School Single Entity,-37.915204,145.166144,0,Major Cities,20435130000,21205132533,212051325,Mulgrave,21205,Monash,212,Melbourne - South East,24970,Monash,25505,Mulgrave (South-Eastern Metropolitan),207,Chisholm
McClelland Secondary College,FRANKSTON,143,41,96,30,3.6,45571,56061,16061,45571,McClelland Secondary College,FRANKSTON,VIC,3199,Government,Secondary,0,School Head Campus,-38.14667462,145.1583658,0,Major Cities,20169910000,21401137218,214011372,Frankston North,21401,Frankston,214,Mornington Peninsula,22170,Frankston,23005,Frankston (South-Eastern Metropolitan),212,Dunkley
Melbourne Girls Grammar,SOUTH YARRA,4,96.3,100,36,28.7,46157,41281,1281,46157,Melbourne Girls Grammar,SOUTH YARRA,VIC,3141,Independent,Combined,0,School Head Campus,-37.835293,144.988851,0,Major Cities,20543650000,20606151503,206061515,South Yarra - North,20606,Stonnington - West,206,Melbourne - Inner,26350,Stonnington,26906,Prahran (Southern Metropolitan),220,Higgins
Melbourne Grammar School,MELBOURNE,< 4,97.6,100,36,28,46137,69056,29056,46137,Melbourne Grammar School,MELBOURNE,VIC,3004,Independent,Combined,0,School Head Campus,-37.833451,144.975911,0,Major Cities,20400190000,20604112508,206041125,South Yarra - West,20604,Melbourne City,206,Melbourne - Inner,24600,Melbourne,26906,Prahran (Southern Metropolitan),229,Macnamara
Melbourne High School,SOUTH YARRA,4,96.4,100,36,28.5,45423,48508,8508,45423,Melbourne High School,SOUTH YARRA,VIC,3141,Government,Secondary,0,School Head Campus,-37.836829,144.995314,0,Major Cities,20545740000,20606151513,206061515,South Yarra - North,20606,Stonnington - West,206,Melbourne - Inner,26350,Stonnington,26906,Prahran (Southern Metropolitan),220,Higgins
Melton Christian College,BROOKFIELD,53,79.1,100,26,0.8,46303,56402,16402,46303,Melton Christian College,BROOKFIELD,VIC,3338,Independent,Combined,0,School Head Campus,-37.701012,144.560365,0,Major Cities,20408600000,21304157110,213041571,Brookfield,21304,Melton - Bacchus Marsh,213,Melbourne - West,24650,Melton,24808,Melton (Western Victoria),219,Hawke
Melton Secondary College,MELTON,224,50,83,24,1.2,45424,50064,10064,45424,Melton Secondary College,MELTON,VIC,3337,Government,Secondary,0,School Head Campus,-37.68244498,144.5668819,0,Major Cities,20409670000,21304135824,213041358,Melton West,21304,Melton - Bacchus Marsh,213,Melbourne - West,24650,Melton,24808,Melton (Western Victoria),219,Hawke
Mentone Girls' Grammar School,MENTONE,36,98.7,100,36,22.2,46195,40856,856,46195,Mentone Girls' Grammar School,MENTONE,VIC,3194,Independent,Combined,0,School Single Entity,-37.989376,145.064534,0,Major Cities,20308690000,20803119029,208031190,Mentone,20803,Kingston,208,Melbourne - Inner South,23430,Kingston (Vic.),27506,Sandringham (Southern Metropolitan),224,Isaacs
Mentone Grammar School,MENTONE,38,94.9,99,35,21.5,46184,40857,857,46184,Mentone Grammar School,MENTONE,VIC,3194,Independent,Combined,0,School Single Entity,-37.987688,145.068124,0,Major Cities,20316890000,20803119028,208031190,Mentone,20803,Kingston,208,Melbourne - Inner South,23430,Kingston (Vic.),27506,Sandringham (Southern Metropolitan),224,Isaacs
Merbein P-10 College,MERBEIN,36,-,-,-,-,45612,68786,28786,45612,Merbein P-10 College,MERBEIN,VIC,3505,Government,Combined,0,School Single Entity,-34.16936534,142.0713085,2,Outer Regional,20412820000,21502139601,215021396,Merbein,21502,Mildura,215,North West,24780,Mildura,24904,Mildura (Northern Victoria),230,Mallee
Mercy College,COBURG,28,96.7,89,29,6.2,45985,40859,859,45985,Mercy College,COBURG NORTH,VIC,3058,Catholic,Secondary,0,School Single Entity,-37.730398,144.964562,0,Major Cities,20631939010,21003123613,210031236,Coburg North,21003,Moreland - North,210,Melbourne - North West,24700,Merri-bek,26603,Pascoe Vale (Northern Metropolitan),239,Wills
Mercy Regional College,CAMPERDOWN,87,60.7,100,27,5,45745,42077,2077,45745,Mercy Regional College,CAMPERDOWN,VIC,3260,Catholic,Secondary,0,School Head Campus,-38.234124,143.140746,1,Inner Regional,20136740000,21703147108,217031471,Camperdown,21703,Colac - Corangamite,217,Warrnambool and South West,21830,Corangamite,26808,Polwarth (Western Victoria),238,Wannon
Mernda Central P-12 College,MERNDA,129,59.1,100,28,5.7,52478,84907,84906,52478,Mernda Central P-12 College,MERNDA,VIC,3754,Government,Combined,0,School Single Entity,-37.603959,145.087925,0,Major Cities,20632000350,20904153203,209041532,Mernda - South,20904,Whittlesea - Wallan,209,Melbourne - North East,27070,Whittlesea,28804,Yan Yean (Northern Victoria),237,Scullin
Mildura Senior College,MILDURA,491,45.6,94,26,2.8,40562,50915,10915,40562,Mildura Senior College,MILDURA,VIC,3502,Government,Secondary,0,School Head Campus,-34.19800387,142.1453901,2,Outer Regional,20413130000,21502147003,215021470,Mildura - South,21502,Mildura,215,North West,24780,Mildura,24904,Mildura (Northern Victoria),230,Mallee
Mill Park Secondary College,EPPING,126,72.1,96,26,2.4,45524,54772,14772,45524,Mill Park Secondary College,MILL PARK,VIC,3082,Government,Secondary,0,School Head Campus,-37.66390279,145.0628602,0,Major Cities,20612960000,20904122031,209041220,Mill Park - North,20904,Whittlesea - Wallan,209,Melbourne - North East,27070,Whittlesea,25002,Mill Park (North-Eastern Metropolitan),237,Scullin
Monbulk College,MONBULK,86,57.4,98,25,5.1,45427,46283,6283,45427,Monbulk College,MONBULK,VIC,3793,Government,Secondary,0,School Single Entity,-37.88317535,145.4278068,0,Major Cities,20660380000,21105127903,211051279,Monbulk - Silvan,21105,Yarra Ranges,211,Melbourne - Outer East,27450,Yarra Ranges,25101,Monbulk (Eastern Victoria),206,Casey
Monivae College,HAMILTON,131,43.4,97,27,1.2,45893,56092,16092,45893,Monivae College,HAMILTON,VIC,3300,Catholic,Secondary,0,School Single Entity,-37.74203709,142.0494536,1,Inner Regional,20541280000,21701142107,217011421,Hamilton (Vic.),21701,Glenelg - Southern Grampians,217,Warrnambool and South West,26260,Southern Grampians,24408,Lowan (Western Victoria),238,Wannon
Monterey Secondary College,FRANKSTON NORTH,134,6.3,88,21,4.5,45547,46290,6290,45547,Monterey Secondary College,FRANKSTON NORTH,VIC,3200,Government,Secondary,0,School Single Entity,-38.12672883,145.1479305,0,Major Cities,20169830000,21401137242,214011372,Frankston North,21401,Frankston,214,Mornington Peninsula,22170,Frankston,23005,Frankston (South-Eastern Metropolitan),212,Dunkley
Mooroolbark College,MOOROOLBARK,154,52.9,91,28,2.1,45429,54798,14798,45429,Mooroolbark College,MOOROOLBARK,VIC,3138,Government,Secondary,0,School Single Entity,-37.77508326,145.3142304,0,Major Cities,20652010000,21105128128,211051281,Mooroolbark,21105,Yarra Ranges,211,Melbourne - Outer East,27450,Yarra Ranges,22801,Evelyn (Eastern Victoria),206,Casey
Mordialloc College,MORDIALLOC,111,76.5,99,30,7,45431,49398,9398,45431,Mordialloc College,MORDIALLOC,VIC,3195,Government,Secondary,0,School Single Entity,-38.012301,145.09199,0,Major Cities,20325840000,20803118919,208031189,Edithvale - Aspendale,20803,Kingston,208,Melbourne - Inner South,23430,Kingston (Vic.),25205,Mordialloc (South-Eastern Metropolitan),224,Isaacs
Mornington Secondary College,MORNINGTON,220,43.9,98,27,4.3,45542,46205,6205,45542,Mornington Secondary College,MORNINGTON,VIC,3931,Government,Secondary,0,School Single Entity,-38.2182617,145.0588104,0,Major Cities,20501890000,21402159209,214021592,Mornington - West,21402,Mornington Peninsula,214,Mornington Peninsula,25340,Mornington Peninsula,25301,Mornington (Eastern Victoria),213,Flinders
Mount Clear College,MOUNT CLEAR,187,48,86,26,1.4,45339,46158,6158,45339,Mount Clear College,MOUNT CLEAR,VIC,3350,Government,Secondary,0,School Head Campus,-37.60741829,143.8767265,1,Inner Regional,20013300000,20101148322,201011483,Canadian - Mount Clear,20101,Ballarat,201,Ballarat,20570,Ballarat,22608,Eureka (Western Victoria),202,Ballarat
Mount Evelyn Christian School,MOUNT EVELYN,67,38.3,100,29,2.1,46229,40868,868,46229,Mount Evelyn Christian School,MOUNT EVELYN,VIC,3796,Independent,Combined,0,School Head Campus,-37.79883442,145.3670969,0,Major Cities,20657520000,21105128012,211051280,Montrose,21105,Yarra Ranges,211,Melbourne - Outer East,27450,Yarra Ranges,22801,Evelyn (Eastern Victoria),206,Casey
Mount Lilydale Mercy College,LILYDALE,231,74.1,100,29,2.7,45706,40869,869,45706,Mount Lilydale Mercy College,LILYDALE,VIC,3140,Catholic,Secondary,0,School Single Entity,-37.75075881,145.3577545,0,Major Cities,20631921210,21105127824,211051278,Lilydale - Coldstream,21105,Yarra Ranges,211,Melbourne - Outer East,27450,Yarra Ranges,22801,Evelyn (Eastern Victoria),206,Casey
Mount Ridley P-12 College,CRAIGIEBURN,171,70.5,99,24,1.3,45585,67630,27630,45585,Mount Ridley P-12 College,CRAIGIEBURN,VIC,3064,Government,Combined,0,School Single Entity,-37.58027078,144.9234218,0,Major Cities,20631928350,21005144221,210051442,Craigieburn - North,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,23270,Hume,23903,Kalkallo (Northern Metropolitan),205,Calwell
Mount Rowan Secondary College,WENDOUREE,72,48,88,28,1.4,45565,10164,25736,45565,Mount Rowan Secondary College,WENDOUREE,VIC,3355,Government,Secondary,0,School Head Campus,-37.51987872,143.83419,1,Inner Regional,20011900000,20101100811,201011008,Wendouree - Miners Rest,20101,Ballarat,201,Ballarat,20570,Ballarat,28508,Wendouree (Western Victoria),202,Ballarat
Mount Scopus Memorial College,BURWOOD,182,98.4,100,37,30.8,46208,40872,872,46208,Mount Scopus Memorial College,BURWOOD,VIC,3125,Independent,Combined,0,School Head Campus,-37.847216,145.117774,0,Major Cities,20593110000,20703116526,207031165,Burwood (Vic.),20703,Whitehorse - West,207,Melbourne - Inner East,26980,Whitehorse,21102,Box Hill (North-Eastern Metropolitan),207,Chisholm
Mount St Joseph Girls' College,ALTONA,58,86.3,98,31,7.1,45964,56965,16965,45964,Mount St Joseph Girls' College,ALTONA,VIC,3018,Catholic,Secondary,0,School Single Entity,-37.863902,144.811674,0,Major Cities,20276130000,21302134104,213021341,Altona,21302,Hobsons Bay,213,Melbourne - West,23110,Hobsons Bay,28707,Williamstown (Western Metropolitan),215,Gellibrand
Mt Hira College,KEYSBOROUGH,39,68.9,100,29,0,46359,57042,17042,46359,Mt Hira College,KEYSBOROUGH,VIC,3173,Independent,Combined,0,School Single Entity,-38.013991,145.175471,0,Major Cities,20631994350,21204156609,212041566,Keysborough - South,21204,Dandenong,212,Melbourne - South East,22670,Greater Dandenong,25205,Mordialloc (South-Eastern Metropolitan),224,Isaacs
Murrayville Community College,MURRAYVILLE,6,-,86,28,0,45223,54789,14789,45223,Murrayville Community College,MURRAYVILLE,VIC,3512,Government,Combined,0,School Single Entity,-35.26557452,141.1773365,3,Remote,20415170000,21502139814,215021398,Mildura Surrounds,21502,Mildura,215,North West,24780,Mildura,24904,Mildura (Northern Victoria),230,Mallee
Myrtleford P-12 College,MYRTLEFORD,34,38.1,90,24,3.2,40584,51710,11710,40584,Myrtleford P-12 College,MYRTLEFORD,VIC,3736,Government,Combined,0,School Single Entity,-36.54888702,146.7261447,1,Inner Regional,20002090000,20403107115,204031071,Myrtleford,20403,Wodonga - Alpine,204,Hume,20110,Alpine,26404,Ovens Valley (Northern Victoria),223,Indi
Nagle College,BAIRNSDALE,141,57.8,99,28,3,45933,40873,873,45933,Nagle College,BAIRNSDALE,VIC,3875,Catholic,Secondary,0,School Single Entity,-37.837096,147.587656,2,Outer Regional,20631984510,20502108134,205021081,Bairnsdale,20502,Gippsland - East,205,Latrobe - Gippsland,22110,East Gippsland,23201,Gippsland East (Eastern Victoria),216,Gippsland
Nathalia Secondary College,NATHALIA,37,40,90,20,2.9,45438,51488,11488,45438,Nathalia Secondary College,NATHALIA,VIC,3638,Government,Secondary,0,School Single Entity,-36.059901,145.208438,1,Inner Regional,20631924700,21602141317,216021413,Numurkah,21602,Moira,216,Shepparton,24900,Moira,27604,Shepparton (Northern Victoria),236,Nicholls
Nazareth College,NOBLE PARK NORTH,85,69.4,100,28,1.8,46079,45558,5558,46079,Nazareth College,WAVERLEY GARDENS,VIC,3174,Catholic,Secondary,0,School Single Entity,-37.940226,145.195459,0,Major Cities,20223630000,21204131606,212041316,Noble Park North,21204,Dandenong,212,Melbourne - South East,22670,Greater Dandenong,25505,Mulgrave (South-Eastern Metropolitan),204,Bruce
Newcomb Secondary College,NEWCOMB,85,14.3,88,25,1,45440,49572,9572,45440,Newcomb Secondary College,NEWCOMB,VIC,3219,Government,Secondary,0,School Head Campus,-38.171306,144.395063,0,Major Cities,20235030000,20302104535,203021045,Newcomb - Moolap,20302,Geelong,203,Geelong,22750,Greater Geelong,23108,Geelong (Western Victoria),210,Corio
Newhaven College,RHYLL,33,74.5,99,30,5.1,46260,77479,15836,46260,Newhaven College,RHYLL,VIC,3923,Independent,Combined,0,School Single Entity,-38.489711,145.26554,1,Inner Regional,20033022000,20503109114,205031091,Phillip Island,20503,Gippsland - South West,205,Latrobe - Gippsland,20740,Bass Coast,20301,Bass (Eastern Victoria),235,Monash
